Method,R^2,Adjusted R^2,MAE,MSE,RMSE,HuberLoss,logcosh,Percent_Error,ColsList,sigmoid % Error,Accuracy,colslist
Linear Regressor,0.2974942257771144,0.0871293881743973,0.6500886337349974,0.7206847996138678,0.8489315635632049,677.5511571454806,543.5710194215279,0.7904761904761904,,0.8260651629072682,29.75,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS'], dtype='object')"
XGBoost_Regressor,0.6983859160355906,0.48697102868279296,0.38403551973546896,0.3094190733208772,0.5562545040904183,297.4867312878724,248.8603978256673,0.5969924812030075,,0.6406015037593985,69.84,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS'], dtype='object')"
Random Regressor,0.7155370120332665,0.5112578964768724,0.36375621179339823,0.2918241514913499,0.5402075078072776,282.45812819484036,236.69778219958621,0.5288220551378446,,0.5774436090225564,71.55,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS'], dtype='object')"
knn,0.6440577439541384,0.4139286252281794,0.4063412950010808,0.36515311743349793,0.6042790062822785,347.9811674166908,285.90185891941974,0.5799498746867168,,0.6180451127819548,64.41,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS'], dtype='object')"
svm,0.1994736431963855,0.03834290821401187,0.6193549613389944,0.8212419003627855,0.9062239791369381,733.3927527622303,563.4199544769358,0.7463659147869675,,0.7508771929824561,19.95,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS'], dtype='object')"
Linear Regressor,0.3011967258486742,0.08889176809947286,0.6483062219118882,0.716886488453943,0.8466914954420783,673.9453977222306,541.0009136057718,0.787468671679198,,0.8235588972431078,30.12,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET'], dtype='object')"
XGBoost_Regressor,0.7219191392336392,0.5202047656895106,0.36289814307235546,0.28527687141013097,0.5341131634870376,273.5342672593924,229.6925946132885,0.5598997493734336,,0.6095238095238096,72.19,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET'], dtype='object')"
Random Regressor,0.7514169606003384,0.5637523279716752,0.3373123267533029,0.2550157230171208,0.5049908147849036,248.26682874248354,210.25287943014513,0.49223057644110274,,0.5413533834586466,75.14,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET'], dtype='object')"
knn,0.6515389262839291,0.4233461945184176,0.4065543517081713,0.3574783415297923,0.5978949251580852,344.4314722497181,284.71762392212486,0.5834586466165413,,0.6200501253132832,65.15,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET'], dtype='object')"
svm,0.20018598141938426,0.03814492851796125,0.6111257582046105,0.8205111286761513,0.9058206934466397,728.5349294457892,558.153940984118,0.73734335839599,,0.7473684210526316,20.02,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET'], dtype='object')"
Linear Regressor,0.30180745860134506,0.08880289476239345,0.6479648002608457,0.7162599515233916,0.8463214232922334,673.3926263125333,540.6102861435587,0.7854636591478696,,0.8215538847117795,30.18,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT'], dtype='object')"
XGBoost_Regressor,0.7295558567003382,0.5310759103083229,0.3564003325813495,0.2774425355240184,0.5267281419518216,266.54310883467076,224.47241592725084,0.5393483709273182,,0.5849624060150376,72.96,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT'], dtype='object')"
Random Regressor,0.7536462995489138,0.5668967285965809,0.32373694914611445,0.2527286945650019,0.5027212891503621,243.42580675510172,204.35465544259614,0.45363408521303256,,0.5102756892230577,75.36,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT'], dtype='object')"
knn,0.6322151753534779,0.39818696818842336,0.40892075181816384,0.37730214096048853,0.6142492498656295,360.5470776024981,295.4332131636276,0.569423558897243,,0.5989974937343359,63.22,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT'], dtype='object')"
svm,0.19554609311611404,0.035820572860107536,0.6117500860170876,0.8252710852413084,0.9084443214866327,732.0285481952347,560.5428371276121,0.7353383458646616,,0.7478696741854637,19.55,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT'], dtype='object')"
Linear Regressor,0.3184189347345615,0.09867851724698229,0.6317726496999265,0.6992186135193008,0.836192928407853,658.8380919508095,528.0410486676946,0.7684210526315789,,0.7984962406015037,31.84,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE'], dtype='object')"
XGBoost_Regressor,0.7467948850129233,0.556367698672657,0.34364357848891103,0.25975740591958685,0.5096640127766398,248.90396588773342,210.37129409373517,0.5343358395989974,,0.5894736842105263,74.68,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE'], dtype='object')"
Random Regressor,0.7824850820545155,0.6111127313148372,0.3003828924724127,0.22314363924762964,0.47238082015216243,215.84491315671312,181.99584474128568,0.4145363408521303,,0.4756892230576441,78.25,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE'], dtype='object')"
knn,0.6888782621793192,0.47296740475139776,0.36231262651971025,0.31917276057246546,0.5649537685266516,305.0953729826823,250.62572614282124,0.5022556390977444,,0.5383458646616541,68.89,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE'], dtype='object')"
svm,0.24656124022404646,0.05795781473367956,0.604838215974526,0.7729357985863016,0.8791676737609849,696.397661261442,538.8674778566464,0.7388471177944862,,0.7508771929824561,24.66,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE'], dtype='object')"
Linear Regressor,0.3210836636757253,0.09993501250346049,0.6280798430995692,0.6964849283120692,0.8345567256406656,656.6707524601429,525.7805613136246,0.7588972431077694,,0.7884711779448621,32.11,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE', 'LONGITUDE'], dtype='object')"
XGBoost_Regressor,0.7679173615414101,0.5882516184542029,0.3301354883878131,0.23808833454274225,0.48794296238673457,228.4130334404784,195.20640566143584,0.5343358395989974,,0.58796992481203,76.79,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE', 'LONGITUDE'], dtype='object')"
Random Regressor,0.8059667885911563,0.6483479787810829,0.2828745772619373,0.1990542871157261,0.44615500346373577,192.6459766204565,163.86494196311162,0.39147869674185465,,0.4656641604010025,80.6,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE', 'LONGITUDE'], dtype='object')"
knn,0.7358430865542418,0.5398496757781424,0.3317187952513829,0.2709926084861955,0.5205695039917297,259.52193117646084,216.11617220738657,0.4666666666666667,,0.512280701754386,73.58,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE', 'LONGITUDE'], dtype='object')"
svm,0.23561616261433505,0.05218765088761901,0.5994265638141354,0.7841641063858193,0.8855304096335819,701.1812370468717,540.0184760479386,0.7097744360902256,,0.7298245614035088,23.56,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE', 'LONGITUDE'], dtype='object')"
Linear Regressor,0.3210836636757256,0.09948180757521474,0.6280798430995691,0.696484928312069,0.8345567256406655,656.6707524601428,525.7805613136245,0.7588972431077694,,0.7884711779448621,32.11,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE', 'LONGITUDE', 'AGE'], dtype='object')"
XGBoost_Regressor,0.7679173615414101,0.5880442929851466,0.3301354883878131,0.23808833454274225,0.48794296238673457,228.4130334404784,195.20640566143584,0.5343358395989974,,0.58796992481203,76.79,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE', 'LONGITUDE', 'AGE'], dtype='object')"
Random Regressor,0.8036239347228706,0.644384686982971,0.2843579225760617,0.20145776795893752,0.4488404705003076,195.1107592267256,165.9295490204167,0.3899749373433584,,0.4681704260651629,80.36,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE', 'LONGITUDE', 'AGE'], dtype='object')"
knn,0.7289323577325066,0.529454536760345,0.3349303284366141,0.27808216902623145,0.5273349685221258,265.6370343419601,220.47934872850334,0.4766917293233083,,0.5112781954887218,72.89,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE', 'LONGITUDE', 'AGE'], dtype='object')"
svm,0.23922006326186518,0.05342855987010042,0.598952379928415,0.7804669461470061,0.883440403279704,698.8252719216603,538.6358025447754,0.7107769423558897,,0.7298245614035088,23.92,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE', 'LONGITUDE', 'AGE'], dtype='object')"
Linear Regressor,0.33526530770774665,0.10837845649643618,0.6195850416285994,0.6819363001549293,0.8257943449521372,645.3867207231021,516.709401469293,0.755889724310777,,0.7889724310776942,33.53,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE', 'LONGITUDE', 'AGE', 'CITY numeric'], dtype='object')"
XGBoost_Regressor,0.7682357163400566,0.588328017645278,0.3300419185263776,0.2377617415485104,0.48760818445603477,228.48123033239915,195.4486305574702,0.530827067669173,,0.5839598997493735,76.82,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE', 'LONGITUDE', 'AGE', 'CITY numeric'], dtype='object')"
Random Regressor,0.806275615222698,0.6484938303270851,0.2844933534346556,0.19873746885282395,0.4457998080448487,192.34836878181815,164.10424266908456,0.40401002506265665,,0.4716791979949875,80.63,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE', 'LONGITUDE', 'AGE', 'CITY numeric'], dtype='object')"
knn,0.7222152789101897,0.5194258179990419,0.3432765901524585,0.2849730684076736,0.5338286882583902,272.9541526812164,226.75869396131884,0.49523809523809526,,0.530827067669173,72.22,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE', 'LONGITUDE', 'AGE', 'CITY numeric'], dtype='object')"
svm,0.26410028181085465,0.06553119594560719,0.5933501448159373,0.7549428921430902,0.8688744973487772,681.3217313127473,527.5542536434714,0.7072681704260652,,0.7208020050125313,26.41,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE', 'LONGITUDE', 'AGE', 'CITY numeric'], dtype='object')"
Linear Regressor,0.4458326701293229,0.1947282958118728,0.5565042607732676,0.5685077414804123,0.7539945235082363,542.1360052090124,438.2152655680674,0.7293233082706767,,0.7619047619047619,44.58,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE', 'LONGITUDE', 'AGE', 'CITY numeric', 'Total_Num_ofComplaints'], dtype='object')"
XGBoost_Regressor,0.7708343554453544,0.5921401680688008,0.3291988610028893,0.2350958564104957,0.4848668439999746,225.945870822776,193.68490151484053,0.5208020050125314,,0.5789473684210527,77.08,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE', 'LONGITUDE', 'AGE', 'CITY numeric', 'Total_Num_ofComplaints'], dtype='object')"
Random Regressor,0.804992690690816,0.6462391052111319,0.2852006495857011,0.20005359214049645,0.44727350932119425,193.82485788490982,165.0961587925692,0.3994987468671679,,0.46365914786967416,80.5,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE', 'LONGITUDE', 'AGE', 'CITY numeric', 'Total_Num_ofComplaints'], dtype='object')"
knn,0.7338879312014138,0.5362658478592761,0.3351646153700486,0.27299835818302254,0.5224924479674539,260.4525232256269,216.98478301999137,0.4781954887218045,,0.5233082706766917,73.39,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE', 'LONGITUDE', 'AGE', 'CITY numeric', 'Total_Num_ofComplaints'], dtype='object')"
svm,0.4339710863696088,0.18423982973125397,0.537633243497961,0.5806762722294001,0.7620211757093106,548.2303151808926,437.0729063482871,0.6897243107769424,,0.7112781954887218,43.4,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE', 'LONGITUDE', 'AGE', 'CITY numeric', 'Total_Num_ofComplaints'], dtype='object')"
Linear Regressor,0.4646742274203539,0.21157273950158018,0.5508610149806444,0.5491786136085156,0.7410658632055018,523.712176959205,425.7803899503647,0.7323308270676692,,0.7729323308270677,46.47,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE', 'LONGITUDE', 'AGE', 'CITY numeric', 'Total_Num_ofComplaints', 'Total_crimes'], dtype='object')"
XGBoost_Regressor,0.7734661332315427,0.5960212906489017,0.325096892884699,0.2323959750485732,0.4820746571316244,223.4372733247838,191.19230626042514,0.5087719298245614,,0.5714285714285714,77.35,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE', 'LONGITUDE', 'AGE', 'CITY numeric', 'Total_Num_ofComplaints', 'Total_crimes'], dtype='object')"
Random Regressor,0.8080197823382937,0.6509705302512088,0.2821613607344102,0.19694816722098088,0.4437884261908831,190.65741769965592,162.7209158560401,0.387468671679198,,0.45764411027568924,80.8,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE', 'LONGITUDE', 'AGE', 'CITY numeric', 'Total_Num_ofComplaints', 'Total_crimes'], dtype='object')"
knn,0.7499910216174124,0.5600595793335449,0.3241791790954066,0.2564785615984953,0.5064371250199725,245.48169115892,205.4263110991565,0.47218045112781953,,0.512781954887218,75.0,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE', 'LONGITUDE', 'AGE', 'CITY numeric', 'Total_Num_ofComplaints', 'Total_crimes'], dtype='object')"
svm,0.455734872030388,0.20329923425496765,0.5309911360448323,0.5583492963050691,0.7472277405885498,527.746325335713,422.7423313606573,0.693734335839599,,0.7177944862155389,45.57,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE', 'LONGITUDE', 'AGE', 'CITY numeric', 'Total_Num_ofComplaints', 'Total_crimes'], dtype='object')"
Linear Regressor,0.5132457652588935,0.2589616063668201,0.5134377414592635,0.49935017048599795,0.7066471329355253,478.20444577677654,388.81103992566295,0.6907268170426065,,0.7388471177944862,51.32,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE', 'LONGITUDE', 'AGE', 'CITY numeric', 'Total_Num_ofComplaints', 'Total_crimes', 'Level_A_SchoolCount'], dtype='object')"
XGBoost_Regressor,0.7750232831738875,0.5982432958559505,0.32680949440545803,0.23079853010883744,0.4804149561668927,222.68948570579096,191.23905830140507,0.5213032581453634,,0.5754385964912281,77.5,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE', 'LONGITUDE', 'AGE', 'CITY numeric', 'Total_Num_ofComplaints', 'Total_crimes', 'Level_A_SchoolCount'], dtype='object')"
Random Regressor,0.8101976595001532,0.6543400471414205,0.28419128701219204,0.1947139322529985,0.4412640164946588,188.87697664160285,161.72492027484108,0.4050125313283208,,0.46516290726817044,81.02,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE', 'LONGITUDE', 'AGE', 'CITY numeric', 'Total_Num_ofComplaints', 'Total_crimes', 'Level_A_SchoolCount'], dtype='object')"
knn,0.7559111484479172,0.5688067198333053,0.32173211072384444,0.25040523725713915,0.5004050731728638,239.24822306256598,201.04311326615917,0.47268170426065165,,0.5102756892230577,75.59,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE', 'LONGITUDE', 'AGE', 'CITY numeric', 'Total_Num_ofComplaints', 'Total_crimes', 'Level_A_SchoolCount'], dtype='object')"
svm,0.5111202734473177,0.256771142408753,0.4918862661896382,0.5015306645068491,0.7081882973523702,476.3072743597686,382.1184687879279,0.6491228070175439,,0.681203007518797,51.11,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE', 'LONGITUDE', 'AGE', 'CITY numeric', 'Total_Num_ofComplaints', 'Total_crimes', 'Level_A_SchoolCount'], dtype='object')"
Linear Regressor,0.5615889464092929,0.3108894480514006,0.4938712880498405,0.4497559933297848,0.6706384967549841,435.1841921324482,359.4105205117471,0.6832080200501253,,0.7308270676691729,56.16,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE', 'LONGITUDE', 'AGE', 'CITY numeric', 'Total_Num_ofComplaints', 'Total_crimes', 'Level_A_SchoolCount', 'Level_B_SchoolCount'], dtype='object')"
XGBoost_Regressor,0.7747757088977099,0.5976542825852146,0.3266240370105154,0.23105251096445958,0.48067921836133043,222.96376347022212,191.2849654029614,0.5172932330827068,,0.5759398496240602,77.48,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE', 'LONGITUDE', 'AGE', 'CITY numeric', 'Total_Num_ofComplaints', 'Total_crimes', 'Level_A_SchoolCount', 'Level_B_SchoolCount'], dtype='object')"
Random Regressor,0.815185296694835,0.6623255797512406,0.2802348001439471,0.18959722795804498,0.4354276380273133,183.9798856951764,157.95957020911447,0.4005012531328321,,0.4666666666666667,81.52,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE', 'LONGITUDE', 'AGE', 'CITY numeric', 'Total_Num_ofComplaints', 'Total_crimes', 'Level_A_SchoolCount', 'Level_B_SchoolCount'], dtype='object')"
knn,0.7613713490922346,0.5769280890710486,0.31604831120420745,0.2448037407974775,0.49477645537907067,233.8689313629589,196.62522300261512,0.45664160401002507,,0.5022556390977444,76.14,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE', 'LONGITUDE', 'AGE', 'CITY numeric', 'Total_Num_ofComplaints', 'Total_crimes', 'Level_A_SchoolCount', 'Level_B_SchoolCount'], dtype='object')"
svm,0.5611141788916592,0.31035292719636653,0.47391652884113483,0.4502430465980479,0.6710015250340702,432.21995763635664,351.8712773242099,0.6446115288220552,,0.6847117794486216,56.11,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE', 'LONGITUDE', 'AGE', 'CITY numeric', 'Total_Num_ofComplaints', 'Total_crimes', 'Level_A_SchoolCount', 'Level_B_SchoolCount'], dtype='object')"
Linear Regressor,0.5614454397625099,0.3103791099844726,0.49362075473984324,0.44990321355597357,0.6707482490144671,435.26038828023707,359.4263570106362,0.681203007518797,,0.7273182957393484,56.14,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE', 'LONGITUDE', 'AGE', 'CITY numeric', 'Total_Num_ofComplaints', 'Total_crimes', 'Level_A_SchoolCount', 'Level_B_SchoolCount', 'Level_C_SchoolCount'], dtype='object')"
XGBoost_Regressor,0.7764313236784743,0.6000374379676167,0.32551800216534127,0.2293540531719482,0.47890923270693814,221.4761558785092,189.93120184934057,0.519298245614035,,0.5784461152882205,77.64,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE', 'LONGITUDE', 'AGE', 'CITY numeric', 'Total_Num_ofComplaints', 'Total_crimes', 'Level_A_SchoolCount', 'Level_B_SchoolCount', 'Level_C_SchoolCount'], dtype='object')"
Random Regressor,0.8162890054508967,0.663968441614903,0.2788538847705012,0.1884649580851399,0.4341255095996317,182.83244763583647,156.85281446969938,0.40401002506265665,,0.4616541353383459,81.63,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE', 'LONGITUDE', 'AGE', 'CITY numeric', 'Total_Num_ofComplaints', 'Total_crimes', 'Level_A_SchoolCount', 'Level_B_SchoolCount', 'Level_C_SchoolCount'], dtype='object')"
knn,0.7627485910341647,0.5788283402881107,0.31380313435880536,0.2433908594100787,0.49334659156629296,231.8308683241063,194.64140586295883,0.46215538847117793,,0.49473684210526314,76.27,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE', 'LONGITUDE', 'AGE', 'CITY numeric', 'Total_Num_ofComplaints', 'Total_crimes', 'Level_A_SchoolCount', 'Level_B_SchoolCount', 'Level_C_SchoolCount'], dtype='object')"
svm,0.5618738797285319,0.31086378782932234,0.4732059430121851,0.44946368667606895,0.6704205297244924,431.3262758937224,351.13682126453665,0.6421052631578947,,0.6877192982456141,56.19,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE', 'LONGITUDE', 'AGE', 'CITY numeric', 'Total_Num_ofComplaints', 'Total_crimes', 'Level_A_SchoolCount', 'Level_B_SchoolCount', 'Level_C_SchoolCount'], dtype='object')"
Linear Regressor,0.5881808642474249,0.3409993520764498,0.4840952776385854,0.42247594570352526,0.6499814964316486,410.276600480506,341.73807689404885,0.681704260651629,,0.731328320802005,58.82,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE', 'LONGITUDE', 'AGE', 'CITY numeric', 'Total_Num_ofComplaints', 'Total_crimes', 'Level_A_SchoolCount', 'Level_B_SchoolCount', 'Level_C_SchoolCount', 'Level_D_SchoolCount'], dtype='object')"
XGBoost_Regressor,0.7778641617601572,0.6020792685077103,0.3247771914115054,0.22788413696105445,0.4773721158185242,219.98007236671006,188.92749073826553,0.5213032581453634,,0.5799498746867168,77.79,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE', 'LONGITUDE', 'AGE', 'CITY numeric', 'Total_Num_ofComplaints', 'Total_crimes', 'Level_A_SchoolCount', 'Level_B_SchoolCount', 'Level_C_SchoolCount', 'Level_D_SchoolCount'], dtype='object')"
Random Regressor,0.8128102782236,0.6580884959482246,0.28194743834214064,0.19203370574061496,0.43821650555474856,186.02469819344196,159.5096764528858,0.3994987468671679,,0.46516290726817044,81.28,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE', 'LONGITUDE', 'AGE', 'CITY numeric', 'Total_Num_ofComplaints', 'Total_crimes', 'Level_A_SchoolCount', 'Level_B_SchoolCount', 'Level_C_SchoolCount', 'Level_D_SchoolCount'], dtype='object')"
