Method,R^2,Adjusted R^2,MAE,MSE,RMSE,HuberLoss,logcosh,Percent_Error,ColsList,Accuracy,sigmoid % Error
Linear Regressor,0.3318403610633076,0.10877716841279206,0.40177178565938976,0.25791057471620354,0.5078489684110853,252.307762725462,227.3482304837174,0.7598997493734336,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS'], dtype='object')",33.18,0.7734335839598997
XGBoost_Regressor,0.7742434883328734,0.5988494427806919,0.20265136953650414,0.0871423358684955,0.2951988073629287,78.70292940171652,72.74200357019615,0.5077694235588972,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS'], dtype='object')",77.42,0.5483709273182957
Random Regressor,0.7551099701735067,0.5695434393312585,0.21398075863825317,0.09452790119937708,0.307453900933745,86.73609879522996,80.33363715367152,0.5258145363408522,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS'], dtype='object')",75.51,0.5659147869674186
knn,0.7509688697370192,0.5632972180654483,0.2182360366546805,0.09612637188107177,0.3100425323743047,88.29491997784453,81.77303919297988,0.5328320802005012,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS'], dtype='object')",75.1,0.5759398496240602
svm,-1.3017529540609978,1.6956073040143793,0.7818175253871474,0.8884799270146257,0.942592131844217,875.3478518599494,703.5371903603741,0.8796992481203008,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS'], dtype='object')",-130.18,0.9057644110275689
Linear Regressor,0.33325548947964634,0.10927240563267715,0.4013397012042525,0.2573643331267894,0.5073108841004591,251.76037797122999,226.86176995998687,0.7609022556390977,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET'], dtype='object')",33.33,0.7699248120300752
XGBoost_Regressor,0.7937475776606132,0.6292915692371507,0.19298595109411723,0.07961372953747142,0.2821590500718902,71.6072694561741,66.297374916633,0.4932330827067669,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET'], dtype='object')",79.37,0.5353383458646617
Random Regressor,0.7766072536448493,0.6023210753111093,0.2008897213282322,0.08622991908277629,0.293649313097743,78.80334489472925,72.90366323436972,0.49373433583959897,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET'], dtype='object')",77.66,0.543859649122807
knn,0.6858870349639157,0.4693765845802984,0.24772571041099056,0.12124805303593499,0.34820691124091,114.02543508561868,104.59229346259256,0.587468671679198,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET'], dtype='object')",68.59,0.612531328320802
svm,-5.413678595398619,29.364816267813403,1.3600721693493698,2.475689096121834,1.5734322661372602,2167.473762865628,1599.526473892789,0.9689223057644111,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET'], dtype='object')",-541.37,0.9488721804511279
Linear Regressor,0.3319039178076526,0.10792330821930707,0.4017922480132591,0.25788604172213164,0.5078248140078738,252.26155535544166,227.32882683034575,0.7614035087719299,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT'], dtype='object')",33.19,0.7679197994987469
XGBoost_Regressor,0.8024204800118422,0.6429833995597868,0.1798528738144448,0.07626597684558081,0.276162953427104,67.70219211548986,61.92659930308619,0.44010025062656644,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT'], dtype='object')",80.24,0.5032581453634085
Random Regressor,0.7857674913536526,0.6164688374226325,0.18928034361680857,0.08269405424698012,0.28756573900063287,74.56375849987714,67.9234785212891,0.4606516290726817,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT'], dtype='object')",78.58,0.49874686716791977
knn,0.7047587688497938,0.49541967572032686,0.2337470558520798,0.1139635368084302,0.3375848586776815,105.61877651779915,96.56313612756935,0.5593984962406015,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT'], dtype='object')",70.48,0.5849624060150376
svm,-0.34672109217406977,0.11800389060945671,0.5676002226967796,0.5198362646055568,0.7209967160851406,511.5657918709662,429.2690878659487,0.8195488721804511,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT'], dtype='object')",-34.67,0.7964912280701755
Linear Regressor,0.3352631177484927,0.10972248898196413,0.39882174199652093,0.2565893857482577,0.5065465287101054,250.90054172642414,225.79144735605203,0.755889724310777,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE'], dtype='object')",33.53,0.7694235588972431
XGBoost_Regressor,0.8112873261813607,0.657155497229008,0.17435343704050232,0.07284336156289181,0.26989509362508207,63.97674431904477,58.512144705354665,0.42606516290726815,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE'], dtype='object')",81.13,0.4882205513784461
Random Regressor,0.8039065307094573,0.6451981015965429,0.17650157572368635,0.07569235915432179,0.27512244393055574,68.17092137273391,61.84929397370436,0.42857142857142855,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE'], dtype='object')",80.39,0.4741854636591479
knn,0.703288621156969,0.4930895774596822,0.23430711380895416,0.11453101591713176,0.33842431342492485,106.18483692872894,97.05233255615347,0.5598997493734336,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE'], dtype='object')",70.33,0.5844611528822055
svm,-0.7284639664189962,0.5292432305028006,0.6846174308966156,0.6671895591670275,0.8168167231191018,660.4401854857631,553.1096012943104,0.8726817042606516,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE'], dtype='object')",-72.85,0.849624060150376
Linear Regressor,0.33546801914159796,0.10941235580391251,0.39856043797810475,0.2565102935179338,0.5064684526383986,250.8305497935092,225.71543950920992,0.7553884711779448,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE', 'LONGITUDE'], dtype='object')",33.55,0.768922305764411
XGBoost_Regressor,0.8244601578316159,0.6786062890751663,0.16815014111715978,0.06775862973598328,0.26030487843293154,59.48462931394067,54.58003856313281,0.4270676691729323,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE', 'LONGITUDE'], dtype='object')",82.45,0.4932330827067669
Random Regressor,0.8195824951255016,0.6705589531124252,0.16643102850577307,0.06964141450551484,0.2638965981317585,62.08698884470935,56.25119852874933,0.3919799498746867,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE', 'LONGITUDE'], dtype='object')",81.96,0.4581453634085213
knn,0.7036017908146546,0.49327661157269875,0.2341013962928629,0.11441013198208012,0.33824566809063517,106.06425520351493,96.95097944750209,0.5604010025062657,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE', 'LONGITUDE'], dtype='object')",70.36,0.5839598997493735
svm,-0.24642856607579033,0.057418074548198916,0.5679058649185211,0.4811232063206969,0.6936304537148703,471.24529701297126,406.65331711996475,0.8406015037593985,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE', 'LONGITUDE'], dtype='object')",-24.64,0.9012531328320802
Linear Regressor,0.33546801914159585,0.10896392295184876,0.3985604379781054,0.2565102935179346,0.5064684526383993,250.83054979351,225.71543950921065,0.7553884711779448,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE', 'LONGITUDE', 'AGE'], dtype='object')",33.55,0.768922305764411
XGBoost_Regressor,0.8244601578316159,0.6784444594120622,0.16815014111715978,0.06775862973598328,0.26030487843293154,59.48462931394067,54.58003856313281,0.4270676691729323,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE', 'LONGITUDE', 'AGE'], dtype='object')",82.45,0.4932330827067669
Random Regressor,0.8183326834194635,0.6683377397887638,0.16728175488600958,0.07012384360869187,0.26480907010276644,62.580486803577216,56.773829581250034,0.3974937343358396,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE', 'LONGITUDE', 'AGE'], dtype='object')",81.83,0.45513784461152884
knn,0.7023535750549235,0.491259458972059,0.23444581665475941,0.11489194504770377,0.3389571433790764,106.54199982399638,97.33246376178056,0.5488721804511278,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE', 'LONGITUDE', 'AGE'], dtype='object')",70.24,0.580952380952381
svm,0.2891662694151059,0.0799257602954152,0.41938614443011496,0.2743828350281175,0.5238156498503242,267.9090804317217,240.66423734638914,0.7909774436090226,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE', 'LONGITUDE', 'AGE'], dtype='object')",28.92,0.8320802005012531
Linear Regressor,0.34526317676673624,0.11521313979583414,0.39505365627760025,0.2527293486878098,0.5027219397319056,246.82969172168708,221.89753299312412,0.7649122807017544,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE', 'LONGITUDE', 'AGE', 'CITY numeric'], dtype='object')",34.53,0.780952380952381
XGBoost_Regressor,0.8255890383155358,0.680153620560414,0.16731442171508218,0.06732288025722544,0.2594665301290813,58.82690780330227,53.95946593923627,0.41904761904761906,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE', 'LONGITUDE', 'AGE', 'CITY numeric'], dtype='object')",82.56,0.4867167919799499
Random Regressor,0.819567428136506,0.6702022135561714,0.1667087968589372,0.06964723038478181,0.26390761714050964,62.14220070763005,56.42227865047119,0.3969924812030075,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE', 'LONGITUDE', 'AGE', 'CITY numeric'], dtype='object')",81.96,0.45864661654135336
knn,0.6872432346929702,0.46991068397013924,0.24265735104057998,0.12072455800395873,0.3474543970134192,112.34895997284073,102.57079495876445,0.5659147869674186,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE', 'LONGITUDE', 'AGE', 'CITY numeric'], dtype='object')",68.72,0.5924812030075188
svm,-0.024386797514955427,-0.003936592699892882,0.5057955960362058,0.3954147665956311,0.6288201385099169,390.32329739647787,341.3180187477754,0.8080200501253133,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE', 'LONGITUDE', 'AGE', 'CITY numeric'], dtype='object')",-2.44,0.7844611528822055
Linear Regressor,0.430471094512909,0.18119903943700444,0.3615137674024529,0.21983897076666056,0.468869886820065,213.58927569577241,192.81048816344565,0.7308270676691729,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE', 'LONGITUDE', 'AGE', 'CITY numeric', 'Total_Num_ofComplaints'], dtype='object')",43.05,0.7428571428571429
XGBoost_Regressor,0.8232268959643667,0.6760780389842832,0.16818340053538747,0.06823467057775576,0.2612176689616454,59.893171003313036,54.66495993151834,0.4170426065162907,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE', 'LONGITUDE', 'AGE', 'CITY numeric', 'Total_Num_ofComplaints'], dtype='object')",82.32,0.4731829573934837
Random Regressor,0.8211155384838971,0.6725887453196382,0.16607731761282354,0.06904965758009225,0.2627730153194811,61.34450000155111,55.75196242173931,0.39398496240601505,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE', 'LONGITUDE', 'AGE', 'CITY numeric', 'Total_Num_ofComplaints'], dtype='object')",82.11,0.44862155388471175
knn,0.6023034186435157,0.35955756036828335,0.2847251386502505,0.15351144828734367,0.3918053704166696,149.35100612338914,134.3046594788627,0.6421052631578947,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE', 'LONGITUDE', 'AGE', 'CITY numeric', 'Total_Num_ofComplaints'], dtype='object')",60.23,0.668671679197995
svm,0.11019958560598353,0.007164835505773515,0.42683780962067763,0.34346423053072317,0.5860582142848295,326.65335143856737,277.0843411050363,0.7654135338345864,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE', 'LONGITUDE', 'AGE', 'CITY numeric', 'Total_Num_ofComplaints'], dtype='object')",11.02,0.7959899749373434
Linear Regressor,0.4417309404113826,0.19066146751948987,0.35697488052132,0.21549265417155364,0.4642118634541276,209.17446435862672,189.0314114522746,0.7278195488721805,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE', 'LONGITUDE', 'AGE', 'CITY numeric', 'Total_Num_ofComplaints', 'Total_crimes'], dtype='object')",44.17,0.7443609022556391
XGBoost_Regressor,0.8269226068249674,0.6820469941353153,0.16564637748428349,0.06680812090833944,0.2584726695578073,58.263165395585844,53.26777460705282,0.41654135338345866,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE', 'LONGITUDE', 'AGE', 'CITY numeric', 'Total_Num_ofComplaints', 'Total_crimes'], dtype='object')",82.69,0.4731829573934837
Random Regressor,0.8250466459197484,0.6789307736153267,0.1650542757477915,0.0675322444964989,0.25986966828873836,59.94599018679156,54.604514935122964,0.3949874686716792,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE', 'LONGITUDE', 'AGE', 'CITY numeric', 'Total_Num_ofComplaints', 'Total_crimes'], dtype='object')",82.5,0.45263157894736844
knn,0.628758068031767,0.3919825496628292,0.26886007286737545,0.14329991584803387,0.3785497534645002,137.87264873561134,124.26075422071887,0.5974937343358396,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE', 'LONGITUDE', 'AGE', 'CITY numeric', 'Total_Num_ofComplaints', 'Total_crimes'], dtype='object')",62.88,0.6345864661654136
svm,-0.3434197357967119,0.11304417911233422,0.6009252822133921,0.5185619363297836,0.7201124470037882,508.80415696015416,436.9075625959214,0.8852130325814537,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE', 'LONGITUDE', 'AGE', 'CITY numeric', 'Total_Num_ofComplaints', 'Total_crimes'], dtype='object')",-34.34,0.9213032581453634
Linear Regressor,0.47399963258404765,0.21998145785544176,0.33958054720799974,0.20303689291540142,0.45059615279693793,196.1517968681117,177.05017369794737,0.693734335839599,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE', 'LONGITUDE', 'AGE', 'CITY numeric', 'Total_Num_ofComplaints', 'Total_crimes', 'Level_A_SchoolCount'], dtype='object')",47.4,0.724812030075188
XGBoost_Regressor,0.8271705219908745,0.6822991314160483,0.16771156836089923,0.06671242530029327,0.25828748576013755,58.78476739880669,54.03637236086995,0.42355889724310775,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE', 'LONGITUDE', 'AGE', 'CITY numeric', 'Total_Num_ofComplaints', 'Total_crimes', 'Level_A_SchoolCount'], dtype='object')",82.72,0.47869674185463656
Random Regressor,0.8245134814752793,0.6778839694158245,0.16643805565456518,0.06773804673338667,0.26026533909336963,60.157157747653784,54.84739901736566,0.4020050125313283,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE', 'LONGITUDE', 'AGE', 'CITY numeric', 'Total_Num_ofComplaints', 'Total_crimes', 'Level_A_SchoolCount'], dtype='object')",82.45,0.45614035087719296
knn,0.6292404490417849,0.3922862886802988,0.26865987081332265,0.1431137160893596,0.378303735230515,137.68691447633378,124.10655786468486,0.5974937343358396,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE', 'LONGITUDE', 'AGE', 'CITY numeric', 'Total_Num_ofComplaints', 'Total_crimes', 'Level_A_SchoolCount'], dtype='object')",62.92,0.6345864661654136
svm,0.34487539434304604,0.11360466247265566,0.3824740574214192,0.2528790332570812,0.5028707918114564,247.03809031652617,220.16167465999,0.7323308270676692,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE', 'LONGITUDE', 'AGE', 'CITY numeric', 'Total_Num_ofComplaints', 'Total_crimes', 'Level_A_SchoolCount'], dtype='object')",34.49,0.7609022556390977
Linear Regressor,0.5242740692480256,0.27010470447937995,0.32871438409067816,0.18363088857462073,0.428521748076595,177.677481820251,162.71597419520984,0.6952380952380952,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE', 'LONGITUDE', 'AGE', 'CITY numeric', 'Total_Num_ofComplaints', 'Total_crimes', 'Level_A_SchoolCount', 'Level_B_SchoolCount'], dtype='object')",52.43,0.7263157894736842
XGBoost_Regressor,0.8217194494338596,0.6730915547876342,0.1685655365722481,0.0688165470910629,0.2623290816723584,60.47521490326153,55.24495218763375,0.4155388471177945,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE', 'LONGITUDE', 'AGE', 'CITY numeric', 'Total_Num_ofComplaints', 'Total_crimes', 'Level_A_SchoolCount', 'Level_B_SchoolCount'], dtype='object')",82.17,0.47869674185463656
Random Regressor,0.8258788830472321,0.6799896029025276,0.1658465869590293,0.06721099977691204,0.25925084334850684,59.63941442074828,54.308393703375955,0.4005012531328321,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE', 'LONGITUDE', 'AGE', 'CITY numeric', 'Total_Num_ofComplaints', 'Total_crimes', 'Level_A_SchoolCount', 'Level_B_SchoolCount'], dtype='object')",82.59,0.4666666666666667
knn,0.6293782574338275,0.3921541039451285,0.2685359755948931,0.14306052185325013,0.3782334224434035,137.63385322581453,124.05225913050853,0.5974937343358396,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE', 'LONGITUDE', 'AGE', 'CITY numeric', 'Total_Num_ofComplaints', 'Total_crimes', 'Level_A_SchoolCount', 'Level_B_SchoolCount'], dtype='object')",62.94,0.6345864661654136
svm,0.3762833220448203,0.13595595258327986,0.38859442016385964,0.24075552831580613,0.4906684504997301,235.46581950466785,212.72535357158253,0.7649122807017544,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE', 'LONGITUDE', 'AGE', 'CITY numeric', 'Total_Num_ofComplaints', 'Total_crimes', 'Level_A_SchoolCount', 'Level_B_SchoolCount'], dtype='object')",37.63,0.768922305764411
Linear Regressor,0.5241535756620401,0.26960884845117583,0.32873111511813397,0.1836773992708678,0.42857601341053586,177.72333910664088,162.7572499388147,0.6947368421052632,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE', 'LONGITUDE', 'AGE', 'CITY numeric', 'Total_Num_ofComplaints', 'Total_crimes', 'Level_A_SchoolCount', 'Level_B_SchoolCount', 'Level_C_SchoolCount'], dtype='object')",52.42,0.7278195488721805
XGBoost_Regressor,0.8247473823536267,0.6779470908737997,0.16638583870625642,0.06764776066034997,0.260091831206499,59.235070096576045,54.188560062692574,0.4100250626566416,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE', 'LONGITUDE', 'AGE', 'CITY numeric', 'Total_Num_ofComplaints', 'Total_crimes', 'Level_A_SchoolCount', 'Level_B_SchoolCount', 'Level_C_SchoolCount'], dtype='object')",82.47,0.47619047619047616
Random Regressor,0.8277837825773343,0.6830003158847933,0.16482990450414808,0.06647570583822529,0.2578288305023806,58.92926494239402,53.76523610184876,0.4,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE', 'LONGITUDE', 'AGE', 'CITY numeric', 'Total_Num_ofComplaints', 'Total_crimes', 'Level_A_SchoolCount', 'Level_B_SchoolCount', 'Level_C_SchoolCount'], dtype='object')",82.78,0.46466165413533833
knn,0.6293629496597465,0.39182770630020547,0.26852163467126233,0.14306643067590383,0.3782412334422357,137.63974727641164,124.05805216960351,0.5974937343358396,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE', 'LONGITUDE', 'AGE', 'CITY numeric', 'Total_Num_ofComplaints', 'Total_crimes', 'Level_A_SchoolCount', 'Level_B_SchoolCount', 'Level_C_SchoolCount'], dtype='object')",62.94,0.6345864661654136
svm,-0.9908033595260368,0.9815618417740776,0.5919880215844369,0.7684529395092029,0.8766144759865667,706.1211504216617,536.7109566508856,0.7859649122807018,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE', 'LONGITUDE', 'AGE', 'CITY numeric', 'Total_Num_ofComplaints', 'Total_crimes', 'Level_A_SchoolCount', 'Level_B_SchoolCount', 'Level_C_SchoolCount'], dtype='object')",-99.08,0.7814536340852131
Linear Regressor,0.5446940515775167,0.2913608236427072,0.32167460632924855,0.17574874623708756,0.41922398098998054,169.3736563424446,155.4216866014029,0.693734335839599,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE', 'LONGITUDE', 'AGE', 'CITY numeric', 'Total_Num_ofComplaints', 'Total_crimes', 'Level_A_SchoolCount', 'Level_B_SchoolCount', 'Level_C_SchoolCount', 'Level_D_SchoolCount'], dtype='object')",54.47,0.7223057644110276
XGBoost_Regressor,0.8226115620022226,0.6742392244506492,0.1703156330344621,0.06847219036579852,0.26167191359754016,60.35127164972582,55.36994723741712,0.42857142857142855,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE', 'LONGITUDE', 'AGE', 'CITY numeric', 'Total_Num_ofComplaints', 'Total_crimes', 'Level_A_SchoolCount', 'Level_B_SchoolCount', 'Level_C_SchoolCount', 'Level_D_SchoolCount'], dtype='object')",82.26,0.4817042606516291
Random Regressor,0.8275754407576237,0.6824926395298025,0.1649652713222782,0.06655612607813158,0.2579847400102021,58.849454940477145,53.76731434097242,0.39649122807017545,"Index(['ZIP_OR_POSTAL_CODE', 'BEDS', 'BATHS', 'SQUARE_FEET', 'YEAR_BUILT', 'LATITUDE', 'LONGITUDE', 'AGE', 'CITY numeric', 'Total_Num_ofComplaints', 'Total_crimes', 'Level_A_SchoolCount', 'Level_B_SchoolCount', 'Level_C_SchoolCount', 'Level_D_SchoolCount'], dtype='object')",82.76,0.4546365914786967
